experiment_name,dataset,backbone_name,num_classes,num_epochs,lr,batch_size,seed,lora_rank,num_coupling_layers,dia_n_blocks,lambda_logdet,tail_weight,score_aggregation_top_k,tail_top_k,scale_context_kernel,spatial_context_kernel,use_lora,use_dia,use_whitening_adapter,use_router,use_pos_embedding,use_spatial_context,use_scale_context,use_task_adapter,adapter_mode,cl_scenario,Image_AUC,Pixel_AUC,Pixel_AP,Routing_Acc
MVTec-WRN50-TAPE,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,1e-05,,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9778,0.9721,0.4654,100.0
MVTec-WRN50-TailTopK10,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,1e-05,,,10,3,3,True,True,True,True,True,True,True,True,whitening,,0.978,0.9733,0.4701,100.0
MVTec-WRN50-TailTopK3,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,1e-05,,,3,3,3,True,True,True,True,True,True,True,True,whitening,,0.9801,0.9737,0.4748,100.0
MVTec-WRN50-TailW0.1,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,1e-05,0.1,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9749,0.972,0.4576,100.0
MVTec-WRN50-TailW0.2,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,1e-05,0.2,,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9779,0.9729,0.4663,100.0
MVTec-WRN50-TailW0.3-TopK10,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,1e-05,0.3,10,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9802,0.9736,0.4735,100.0
MVTec-WRN50-TailW0.5-TailTopK3-TopK5-LogdetReg1e-4,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,0.0001,0.5,5,3,3,3,True,True,True,True,True,True,True,True,whitening,,0.983,0.9767,0.5242,100.0
MVTec-WRN50-TailW0.5-TailTopK7-TopK5-LogdetReg1e-4,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,0.0001,0.5,5,7,3,3,True,True,True,True,True,True,True,True,whitening,,0.9822,0.9766,0.5204,100.0
MVTec-WRN50-TailW0.5-TopK5-LogdetReg1e-4-LoRA128-DIA6,mvtec,wide_resnet50_2,15,60,0.0002,16,0,128,8,6,0.0001,0.5,5,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9827,0.9768,0.5102,100.0
MVTec-WRN50-TailW0.55-TopK5-LogdetReg1e-4,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,0.0001,0.55,5,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9827,0.977,0.5256,100.0
MVTec-WRN50-TailW0.55-TopK5-LogdetReg1e-4-ScaleCtxK5-lr3e-4,mvtec,wide_resnet50_2,15,60,0.0003,16,0,64,8,4,0.0001,0.55,5,,5,3,True,True,True,True,True,True,True,True,whitening,,0.9824,0.9778,0.535,100.0
MVTec-WRN50-TailW0.55-TopK5-LogdetReg2e-4-ScaleK5-lr3e-4,mvtec,wide_resnet50_2,15,60,0.0003,16,0,64,8,4,0.0002,0.55,5,,5,3,True,True,True,True,True,True,True,True,whitening,,0.9815,0.9779,0.5399,100.0
